,refs-en,refs-fa
0,"Pervez Musharraf, president of Pakistan at the time, has also been implicated in Ms Bhutto's murder.

The anti-terrorism court issued an arrest warrant for him in February over what it said was his failure to provide her with adequate security.

",پرویز مشرف رئیس‌جمهور وقت پاکستان نیز در قتل بوتو دست داشته است. دادگاه ضدتروریسم در ماه فوریه برای او قرار توقیف صادر کرد و این قرار بر سر به اصطلاح قصور او برای فراهم کردن امنیت کافی برای بوتو می‌باشد.
1,"He was declared a fugitive after failing to appear at the court in February.
",او بعد از آن‌که در ماه فوریه در دادگاه حاضر نشد، اعلام پناهندگی کرد.
2,"
Mr Musharraf denies the allegation.

",آقای مشرف، این ادعا را انکار می‌کند.
3,"
In August the court ordered the confiscation of his property and the freezing of his bank accounts in Pakistan.
",دادگاه در ماه آگوست دستور مصادره اموال و بلوکه کردن حساب های بانکی او را در پاکستان صادر کرد.
4,"The five suspected Taliban members have been in custody for nearly four years.


",پنج مظنون عضو طالبان، حدود چهار سال‌ است که در زندان به سر می‌برند.
5,"
They are accused of bringing a suicide bomber from Pakistan's tribal areas to Rawalpindi to carry out the attack.",‌آن‌ها به آوردن بمب‌گذار انتحاری از مناطق قبایلی پاکستان به راولپندی برای انجام این حمله، متهم هستند.
6,"Three other suspects, including the head of the Pakistani Taliban Baitullah Mehsud, have been killed. Mehsud was killed in a US drone strike in 2009.
",سه مظنون دیگر، منجمله بیت الله محسود رهبر طالبان پاکستان کشته شده‌اند. محسود در حمله هواپیماهای بدون سرنشین آمریکا در سال 2009 کشته شد.
7,"Two other suspects remain at large.
",در کل دو متهم دیگر باقی مانده‌اند.
8,"
After Ms Bhutto's death, her Pakistan People's Party won general elections and her widower, Asif Ali Zardari, became president after Mr Musharraf was forced to step down.
",بعد از مرگ خانم بوتو، حزب او به نام حزب مردم پاکستان در انتخابات پیروز شد و بیوه‌اش، آصف علی زرداری، بعد از آن‌که مجبور شدن مشرف به کناره‌گیری، رئیس‌جمهور شد.
9,"
Ms Bhutto was Pakistan's prime minister from from 1988 to 1990 and from 1993 to 1996.",خانم بوتو از سالهای 1988 تا 1990 و از سال 1993 تا 1996، نخست وزیر پاکستان بود.
10,A senior US commander has been dismissed after he made disparaging comments about Afghanistan's leaders.,یکی از فرماندهان ارشد ایالات متحده بعد از آن‌که نظرهای توهین‌آمیزی درباره رهبران افغان بیان کرد، برکنار شد.
11,"It is not clear whether Gen Fuller will be reassigned or will retire.
",معلوم نیست که آیا ژنرال فولر دوباره منصوب خواهد شد یا این‌که بازنشسته می‌شود.
12,"
The head of US forces in Afghanistan says Gen Fuller's comments do not represent the US-Afghan relationship.",فرمانده نیروهای ایالات متحده در افغانستان می‌گوید که نظرهای ژنرال فولر بیانگر رابطه ایالات متحده-افغانستان نیست.
13,"Gen John Allen described the two countries as ""solid"", adding: ""The Afghan people are an honourable people, and comments such as these will not keep us from accomplishing our most critical and shared mission - bringing about a stable, peaceful and prosperous Afghanistan.""",ژنرال جان آلن، رابطه این دو کشور را «استوار» توصیف کرد و افزود:«مردم افغان، مردم قابل احترامی هستند و نظرهایی از این قبیل ما را از ماموریت خطیر و مشترکمان باز نمی‌دارد و آن همانا ایجاد افغانستانی باثبات، امن و مرفه است.»
14,"Gen John Allen described the two countries as ""solid"", adding: ""The Afghan people are an honourable people, and comments such as these will not keep us from accomplishing our most critical and shared mission - bringing about a stable, peaceful and prosperous Afghanistan.""",ژنرال جان آلن، رابطه این دو کشور را «استوار» توصیف کرد و افزود:«مردم افغان، مردم قابل احترامی هستند و نظرهایی از این قبیل ما را از ماموریت خطیر و مشترکمان باز نمی‌دارد و آن همانا ایجاد افغانستانی باثبات، امن و مرفه است.»
15,Pentagon spokesman George Little said Defence Secretary Leon Panetta was aware of the remarks but said that Gen Fuller had been speaking for himself and not the Department of Defense.,جرج لیتل سخنگوی پنتاگون می‌گوید که لئون پانتا وزیر دفاع از این اظهارات اطلاع داشته اما گفت که ژنرال فولر از جانب خودش و نه از جانب وزارت دفاع صحبت می‌کرده است.
16,"Politico have reported that the general appeared to be irritated when referring to a recent comment made by Mr Karzai - that Afghanistan would side with Pakistan if the country ever went to war with the US.
",کارشناسان سیاسی گزارش داده‌اند که این ژنرال ظاهراً از نظر اخیری که توسط آقای کرزای بیان شد، رنجیده است. کرزای اخیراً گفته بود که اگر پاکستان با ایالات متحده درگیر جنگ شود، افغانستان در کنار آن قرار خواهد گرفت.
17,"""Why don't you just poke me in the eye with a needle! You've got to be kidding me.",«چرا در چشمانم سوزن فرو نمی‌کنید! شما ما را دست انداخته‌اید.
18," I'm sorry, we just gave you $11.6bn (£7.2bn) and now you're telling me, 'I don't really care?'"" Gen Fuller said.",ژنرال مولر گفت:«متاسفم، ما به شما 6/11 میلیارد دلار (2/7 میلیارد پوند) پول دادیم و حالا شما این حرفها را می‌زنید، من نباید واقعاً نگران باشم؟»
19,"n the most serious case in recent years, Gen Stanley McChrystal resigned as commander of US forces in Afghanistan in June 2010 after making critical comments about senior members of the Obama administration that were published by Rolling Stone magazine.",جدی‌ترین مورد در سالهای اخیر، استعفای جن استنلی مک کریستال ژوئن 2010 از فرماندهی نیروهای ایالات متحده در افغانستان بود که بعد از بیان نظرات مهمی در باره اعضای ارشد دولت اوباما که توسط مجله رولینگ استون منتشر شد، صورت گرفت.
20," China is confident that Europe will be able to overcome its debt crisis, Foreign Minister Yang Jiechi said, adding stability in the eurozone was crucial for the global economic recovery.",یانگ چیچی وزیر خارجه چین گفت که مطمئن است که اروپا خواهد توانست بر بحران بدهی خود غلبه کند و افزود که ثبات در منطقه یورو برای بهبود اقتصاد جهان، امری حیاتی است.
21,"Yang, however, made no mention about increasing investment in Europe in his statement late on Saturday on President Hu Jintao's trip to the G20 leaders' meeting in southern France.


",اما یانگ در بیانیه‌اش که اواخر روز شنبه در مورد سفر هوجینتائو رئیس‌جمهور به نشست رهبران در جنوب فرانسه صادر شد، هیچ اشاره‌ای به افزایش سرمایه گذاری در اروپا نکرد.
